,start,end,,,7,8:43:53,9:08:51,0:24:58
,,,,,8,8:39:08,9:09:38,0:30:30
,,,,,11,8:57:14,9:22:15,0:25:01
,,,,,12,9:05:48,9:26:15,0:20:27
,,,,,14,9:13:04,9:29:19,0:16:15
,,,,,17,9:02:29,9:32:28,0:29:59
,,,,,18,9:14:48,9:33:49,0:19:01
,,,,,20,8:58:59,9:35:01,0:36:02
,,,,,23,9:05:03,9:36:28,0:31:25
,,,,,24,9:00:27,9:37:06,0:36:39
,,,,,25,9:01:31,9:37:17,0:35:46
,,,,,28,9:07:52,9:39:08,0:31:16
,,,,,33,9:13:44,9:41:37,0:27:53
,,,,,34,9:07:20,9:43:26,0:36:06
,,,,,35,9:13:00,9:44:47,0:31:47
,,,,,40,9:25:37,9:47:17,0:21:40
,,,,,41,9:03:16,9:48:14,0:44:58
,,,,,45,9:32:58,9:50:41,0:17:43
,,,,,48,8:50:52,9:53:08,1:02:16
,,,,,49,8:55:26,9:53:43,0:58:17
,,,,,50,9:12:24,9:54:12,0:41:48
,,,,,52,9:40:10,9:54:38,0:14:28
,,,,,53,9:09:33,9:54:58,0:45:25
,,,,,54,8:58:00,9:55:05,0:57:05
,,,,,55,9:09:36,9:55:21,0:45:45
,,,,,56,9:38:34,9:55:28,0:16:54
,,,,,57,9:08:22,9:55:55,0:47:33
,,,,,58,9:31:52,9:56:07,0:24:15
,,,,,60,9:09:33,9:56:35,0:47:02
,,,,,63,9:04:52,9:57:06,0:52:14
,,,,,65,9:44:13,9:57:25,0:13:12
,,,,,67,9:25:30,9:58:17,0:32:47
,,,,,68,9:09:39,9:59:02,0:49:23
,,,,,69,9:05:44,9:59:15,0:53:31
,,,,,73,9:32:18,10:00:42,0:28:24
,,,,,74,9:23:25,10:00:43,0:37:18
,,,,,75,9:18:38,10:01:04,0:42:26
,,,,,81,9:07:27,10:03:13,0:55:46
,,,,,82,9:26:13,10:03:43,0:37:30
,,,,,84,9:47:08,10:04:09,0:17:01
,,,,,85,9:30:41,10:04:13,0:33:32
,,,,,86,9:30:47,10:04:26,0:33:39
,,,,,88,9:36:01,10:04:59,0:28:58
,,,,,89,9:30:51,10:06:53,0:36:02
,,,,,91,8:41:37,10:07:13,1:25:36
,,,,,92,8:56:13,10:07:18,1:11:05
,,,,,93,9:11:04,10:08:07,0:57:03
,,,,,94,9:48:11,10:08:29,0:20:18
,,,,,95,9:50:59,10:08:31,0:17:32
,,,,,96,9:30:03,10:08:32,0:38:29
,,,,,97,9:30:31,10:09:09,0:38:38
,,,,,99,9:05:52,10:09:25,1:03:33
,,,,,100,9:46:43,10:09:38,0:22:55
,,,,,101,9:30:26,10:10:10,0:39:44
,,,,,102,9:25:22,10:10:19,0:44:57
